# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6764.3000 M75 838158 1 4525.3000 p25 t123 224 N p25->t123
6802.0000 M116 972891 2 3337.0000 p2 w89 244 N p2->p4->w89
6872.5000 M72 625366 2 4720.5000 c78 p18 221 N c78->p23->p18
6908.2000 M98 727857 2 3970.2000 w116 c56 233 N w116->c70->c56
6958.0000 M66 762094 5 4985.0000 w87 p21 216 N w87->w85->w118->p39->w86->p21
6983.5000 M95 563385 3 4133.5000 w92 c77 231 N w92->w106->p21->c77
7005.6000 M131 516636 1 3099.6000 c63 p11 248 N c63->p11
7006.7000 M51 797770 4 5478.7000 p5 c53 208 N p5->p11->w116->w83->c53
7045.4000 M136 846612 3 2997.4000 w101 p30 250 N w101->p4->w89->p30
7101.3000 M94 655764 1 4281.3000 c62 p6 228 N c62->p6
7327.1000 M190 535919 2 1690.1000 w110 w108 271 N w110->c46->w108
7375.8000 M55 928171 3 5729.8000 p2 w90 204 N p2->p4->w96->w90
7437.1000 M114 785174 4 4028.1000 w87 t120 232 N w87->p18->p36->w117->t120
7460.4000 M146 758878 1 3119.4000 w112 w88 248 N w112->w88
7522.4000 M112 952005 4 4170.4000 p12 p28 230 N p12->p1->w100->w82->p28
7525.8000 M219 830559 1 1029.8000 p28 w82 282 N p28->w82
7567.1000 M120 832182 1 3980.1000 p32 w92 233 N p32->w92
7582.8000 M53 883685 2 5996.8000 w102 w111 200 N w102->w82->w111
7620.1000 M158 640674 2 2928.1000 w105 w107 251 N w105->w89->w107
7750.9000 M103 602605 3 4669.9000 p16 w87 222 N p16->w95->p37->w87
7754.9000 M31 948641 2 6841.9000 w89 c70 185 N w89->w104->c70
7825.2000 M176 579901 2 2599.2000 c69 c50 256 N c69->w119->c50
7845.7000 M69 580609 3 5786.7000 c58 w114 203 N c58->w117->c45->w114
8018.1000 M191 547102 2 2347.1000 p20 c67 260 N p20->p5->c67
8061.9000 M228 852533 1 1300.9000 w99 p20 278 N w99->p20
8090.0000 M37 737538 3 6998.0000 w117 p6 183 N w117->c58->c78->p6
8175.8000 M159 998913 1 3456.8000 p14 w92 242 N p14->w92
8315.4000 M153 974276 2 3775.4000 w85 p33 237 N w85->p39->p33
8362.4000 M181 569604 2 2983.4000 p6 c42 250 N p6->p4->c42
8406.7000 M33 729461 5 7430.7000 p24 p0 176 N p24->c61->t123->t121->p10->p0
8449.6000 M199 567634 1 2536.6000 p27 w88 257 N p27->w88
8483.5000 M143 941589 4 4236.5000 p13 w110 229 N p13->w82->t125->p22->w110
8509.6000 M210 524864 2 2283.6000 c65 p26 261 N c65->w118->p26
8518.9000 M86 667043 3 5953.9000 p16 p22 200 N p16->p1->t121->p22
8521.6000 M138 650867 3 4415.6000 p39 t121 226 N p39->w86->p22->t121
8536.7000 M130 856906 2 4663.7000 w99 p29 222 N w99->p25->p29
8692.6000 M179 767122 3 3374.6000 p0 w94 243 N p0->w90->w89->w94
8742.7000 M83 619743 3 6265.7000 p16 p15 195 N p16->t123->w81->p15
8777.1000 M259 561706 1 1086.1000 c46 p14 281 N c46->p14
8789.3000 M140 743196 2 4625.3000 w96 w95 222 N w96->c51->w95
8802.2000 M50 976458 3 7304.2000 p33 c76 178 N p33->p34->p12->c76
8822.5000 M135 610314 4 4800.5000 p27 c57 219 N p27->p25->w119->c46->c57
8866.5000 M92 799189 3 6110.5000 w114 c63 198 N w114->w87->c72->c63
8879.8000 M187 827135 1 3335.8000 w114 w110 244 N w114->w110
9084.9000 M127 975887 3 5293.9000 c71 p2 211 N c71->p28->w102->p2
9088.4000 M78 861599 5 6756.4000 p35 p2 187 N p35->p7->w94->w103->w102->p2
9151.8000 M30 678625 3 8270.8000 c54 w83 162 N c54->c66->w115->w83
9159.3000 M267 864355 1 1244.3000 c74 c42 279 N c74->c42
9312.1000 M2 977273 2 9254.1000 c76 w110 145 N c76->w106->w110
9356.6000 M273 589551 2 1272.6000 c58 p36 278 N c58->c48->p36
9464.4000 M269 513133 2 1492.4000 c59 w87 275 N c59->c48->w87
9482.7000 M77 598670 2 7184.7000 c46 p33 180 N c46->p37->p33
9669.2000 M192 803181 3 3968.2000 p18 c73 233 N p18->w102->p2->c73
9680.3000 M265 731976 1 1826.3000 p15 w107 269 N p15->w107
9691.3000 M122 656381 8 6050.3000 c77 w112 199 N c77->w83->w99->t122->p13->p12->p3->w108->w112
9792.8000 M124 702195 2 6090.8000 p11 p14 198 N p11->p32->p14
9848.0000 M230 918174 2 3029.0000 p34 c43 249 N p34->p19->c43
9876.3000 M250 721766 2 2454.3000 w113 c63 259 N w113->p13->c63
9910.8000 M118 787394 1 6385.8000 w100 p5 193 N w100->p5
9996.4000 M195 737647 2 4210.4000 p19 c56 229 N p19->p21->c56
10100.3000 M274 520510 3 1988.3000 p28 w93 266 N p28->w102->c46->w93
10167.1000 M163 755220 1 5335.1000 w89 c72 211 N w89->c72
10232.3000 M165 709592 3 5346.3000 c52 w118 210 N c52->c63->c40->w118
10270.3000 M175 750628 4 5074.3000 w84 c53 215 N w84->w109->t124->t125->c53
10272.6000 M42 889225 3 9023.6000 w113 p36 149 N w113->p13->w111->p36
10402.6000 M62 745934 6 8547.6000 w98 w109 157 N w98->w115->p20->w105->w89->p30->w109
10415.0000 M125 717958 6 6681.0000 t124 p26 188 N t124->t125->p22->w88->p5->w105->p26
